Site name,Year,USGS Ba Date,USGS ELA [m],Snowline date(s),Snowline median elevations [m],Median snowline median elevations [m],Difference median [m],Difference IQR [m],Difference mean [m],Difference std. [m],N
Wolverine,2013,2013-09-18,1327,,,,,,,,0
Wolverine,2014,2014-10-02,1313,,,,,,,,0
Wolverine,2015,2015-09-09,1237,,,,,,,,0
Wolverine,2016,2016-10-15,1193,,,,,,,,0
Wolverine,2017,2017-09-30,1270,['2017-09-29T21:15:10.000000000' '2017-09-29T15:15:10.000000000'],[1159.3312 1157.    ],1158,-112,1,-112,1,2
Wolverine,2018,2018-10-02,1368,"['2018-09-27T15:25:47.000000000' '2018-09-29T15:07:45.000000000'
 '2018-10-07T15:27:29.000000000' '2018-09-29T15:15:07.000000000'
 '2018-10-08T15:01:39.000000000' '2018-09-27T21:25:47.000000000'
 '2018-10-07T21:27:29.000000000' '2018-09-29T21:15:07.000000000']","[ 474.      1204.      1113.      1181.5     1058.       474.74945
 1137.5088  1182.0404 ]",1125,-243,269,-390,294,8
Wolverine,2019,2019-09-19,1258,"['2019-09-17T15:28:28.000000000' '2019-09-22T15:28:29.000000000'
 '2019-09-14T21:18:31.000000000' '2019-09-17T15:28:28.000000000'
 '2019-09-22T15:28:29.000000000' '2019-09-17T21:28:28.000000000'
 '2019-09-14T15:18:31.000000000' '2019-09-16T15:08:19.000000000'
 '2019-09-22T21:28:29.000000000' '2019-09-14T15:18:31.000000000']","[1290.     1217.     1242.1366 1209.     1352.     1251.5958 1277.
 1241.     1205.8241 1237.    ]",1242,-16,49,-6,42,10
Wolverine,2020,2020-09-17,1338,"['2020-09-13T21:18:35.000000000' '2020-09-11T21:28:31.000000000'
 '2020-09-11T15:02:04.000000000' '2020-09-13T15:18:35.000000000'
 '2020-09-13T15:18:35.000000000' '2020-09-11T15:28:31.000000000'
 '2020-09-11T15:28:31.000000000']","[ 981.84717  979.99664 1128.      1289.       982.       975.
 1267.     ]",982,-356,217,-252,131,7
Wolverine,2021,2021-09-19,1237,"['2021-09-18T21:18:33.000000000' '2021-09-18T15:18:33.000000000'
 '2021-09-18T15:18:33.000000000']",[ 829.8187 1211.      829.    ],830,-407,191,-280,180,3
Wolverine,2022,2022-09-21,1241,"['2022-09-21T15:28:30.000000000' '2022-09-21T15:28:30.000000000'
 '2022-09-26T15:28:36.000000000' '2022-09-26T15:28:36.000000000'
 '2022-09-17T15:02:29.000000000']",[1147.   nan  988. 1016.  834.],1002,-239,99,-245,111,5
Wolverine AVERAGE,N/A,N/A,1285.333333,N/A,N/A,1056,-229,138,-214,127,35
Gulkana,2013,2013-08-18,1923,,,,,,,,0
Gulkana,2014,2014-08-24,1730,,,,,,,,0
Gulkana,2015,2015-08-25,1968,,,,,,,,0
Gulkana,2016,2016-09-04,1959,,,,,,,,0
Gulkana,2017,2017-09-09,2183,,,,,,,,0
Gulkana,2018,2018-09-20,1811,"['2018-09-14T20:00:00.000000000' '2018-09-26T20:00:00.000000000'
 '2018-09-26T19:00:00.000000000' '2018-09-14T15:15:59.000000000']",[1833. 1886. 1877. 1614.],1855,44,101,-9,111,4
Gulkana,2019,2019-09-15,1978,,,,,,,,0
Gulkana,2020,2020-08-29,1792,['2020-08-29T15:17:42.000000000' '2020-08-29T15:17:42.000000000'],[2066.   nan],2066,274,0,274,0,2
Gulkana,2021,2021-08-08,1806,"['2021-08-02T15:27:40.000000000' '2021-08-03T16:00:00.000000000'
 '2021-08-02T21:00:00.000000000' '2021-08-04T15:06:55.000000000'
 '2021-08-04T15:17:40.000000000' '2021-08-06T21:00:00.000000000'
 '2021-08-04T20:00:00.000000000' '2021-08-06T20:00:00.000000000'
 '2021-08-04T15:17:40.000000000' '2021-08-02T15:27:40.000000000'
 '2021-08-13T16:00:00.000000000' '2021-08-06T19:00:00.000000000'
 '2021-08-13T15:01:11.000000000']","[1766.  1709.  1767.  1778.  1788.  1798.  1577.  1698.  1768.5 1752.
 1649.  1770.  1704. ]",1766,-40,66,-73,61,13
Gulkana,2022,2022-09-01,1838,"['2022-09-07T20:00:00.000000000' '2022-08-27T15:27:49.000000000'
 '2022-09-04T20:00:00.000000000' '2022-09-01T20:00:00.000000000'
 '2022-09-02T20:00:00.000000000' '2022-09-03T20:00:00.000000000'
 '2022-08-27T15:27:49.000000000' '2022-08-27T20:00:00.000000000'
 '2022-08-26T20:00:00.000000000' '2022-08-28T20:00:00.000000000']",[1571.  1746.  1304.  1252.     nan 1581.  1850.5 2286.  1252.  1703. ],1581,-257,442,-222,315,10
Gulkana AVERAGE,N/A,N/A,1845,N/A,N/A,1817,5,152,-7,122,29
LemonCreek,2013,2013-10-24,1365,,,,,,,,0
LemonCreek,2014,2014-10-18,1268,,,,,,,,0
LemonCreek,2015,2015-10-25,1229,,,,,,,,0
LemonCreek,2016,2016-10-08,1490,,,,,,,,0
LemonCreek,2017,2017-10-07,1875,['2017-10-01T14:18:07.000000000' '2017-10-09T14:23:27.000000000'],[1118.   nan],1118,-757,0,-757,0,2
LemonCreek,2018,2018-10-25,1778,"['2018-10-31T14:15:54.000000000' '2018-10-29T18:00:00.000000000'
 '2018-10-26T14:15:24.000000000' '2018-10-26T19:00:00.000000000']",[ 669. 1101.  933.  842.],888,-891,176,-892,156,4
LemonCreek,2019,2019-10-05,2023,"['2019-09-29T14:28:44.000000000' '2019-10-03T19:00:00.000000000'
 '2019-10-04T14:28:46.000000000' '2019-10-07T19:00:00.000000000'
 '2019-10-04T14:28:46.000000000' '2019-09-29T14:28:44.000000000']",[  nan 1059. 1090.  668. 1043.   nan],1051,-972,118,-1058,172,6
LemonCreek,2020,2020-10-16,1180,"['2020-10-21T20:00:00.000000000' '2020-10-13T19:00:00.000000000'
 '2020-10-17T19:00:00.000000000' '2020-10-16T18:00:00.000000000'
 '2020-10-16T19:00:00.000000000' '2020-10-13T14:28:48.000000000'
 '2020-10-13T14:28:48.000000000']",[668. 781. 959. 796. 756. 802. 800.],796,-384,33,-385,80,7
LemonCreek,2021,2021-10-01,1093,"['2021-10-03T19:00:00.000000000' '2021-09-30T14:18:52.000000000'
 '2021-10-05T14:18:48.000000000' '2021-09-30T14:18:52.000000000'
 '2021-10-06T19:00:00.000000000' '2021-10-05T14:18:48.000000000'
 '2021-10-06T20:00:00.000000000' '2021-10-05T19:00:00.000000000']",[1095.     nan  669.     nan 1289.5  669.     nan  668. ],669,-424,426,-215,264,8
LemonCreek,2022,2022-10-01,1130,"['2022-09-26T19:00:00.000000000' '2022-09-25T19:00:00.000000000'
 '2022-09-30T19:00:00.000000000' '2022-09-25T14:18:54.000000000'
 '2022-09-29T19:00:00.000000000' '2022-09-25T14:18:54.000000000']",[668.  nan 668.  nan 668.  nan],668,-462,0,-462,0,6
LemonCreek AVERAGE,N/A,N/A,1513.166667,N/A,N/A,865,-648,125,-628,112,33
SouthCascade,2013,2013-09-22,1916,,,,,,,,0
SouthCascade,2014,2014-10-11,1927,,,,,,,,0
SouthCascade,2015,2015-10-23,2174,,,,,,,,0
SouthCascade,2016,2016-10-04,1963,,,,,,,,0
SouthCascade,2017,2017-10-06,1942,"['2017-10-11T18:49:21.000000000' '2017-10-05T19:02:25.000000000'
 '2017-10-03T19:20:06.000000000']",[1635.5693 1764.2043 1748.0122],1748,-194,64,-226,57,3
SouthCascade,2018,2018-09-29,2040,"['2018-09-26T18:00:00.000000000' '2018-10-03T19:12:23.000000000'
 '2018-09-24T17:00:00.000000000' '2018-09-24T18:00:00.000000000'
 '2018-09-25T18:00:00.000000000' '2018-10-04T17:00:00.000000000'
 '2018-09-28T18:00:00.000000000' '2018-09-25T19:07:41.000000000'
 '2018-09-28T18:48:47.000000000' '2018-09-27T17:00:00.000000000'
 '2018-09-28T17:00:00.000000000' '2018-10-03T17:00:00.000000000'
 '2018-09-28T19:19:05.000000000']","[1858.     1635.5693 1774.     1803.     1808.     1783.     1925.
 1849.0894 1839.8369 1870.     1905.5    1741.     1929.1765]",1840,-200,87,-215,78,13
SouthCascade,2019,2019-09-27,3265,"['2019-09-25T18:00:00.000000000' '2019-10-01T18:49:25.000000000'
 '2019-09-24T17:00:00.000000000' '2019-09-25T19:11:08.000000000']",[      nan 1635.5693 1846.9708 1984.0349],1847,-1418,174,-1443,143,4
SouthCascade,2020,2020-10-10,1891,"['2020-10-04T18:00:00.000000000' '2020-10-04T19:11:14.000000000'
 '2020-10-07T19:21:10.000000000' '2020-10-07T18:00:00.000000000'
 '2020-10-04T19:11:14.000000000' '2020-10-09T15:00:00.000000000'
 '2020-10-07T19:21:10.000000000' '2020-10-05T18:00:00.000000000']","[1885.1675 2013.8724 1973.9237 1926.7905 1999.8566       nan 1917.7766
 1868.2876]",1927,36,85,50,52,8
SouthCascade,2021,2021-09-27,2262,"['2021-09-24T18:00:00.000000000' '2021-09-24T19:11:06.000000000'
 '2021-09-24T19:11:06.000000000' '2021-09-29T19:11:12.000000000'
 '2021-09-26T15:00:00.000000000' '2021-10-01T18:00:00.000000000'
 '2021-09-25T18:00:00.000000000' '2021-09-29T19:11:12.000000000']","[1870.4054 1949.7892 1962.6083 2041.8899 1635.244  1763.0928 1985.1111
       nan]",1950,-312,157,-375,132,8
SouthCascade,2022,2022-10-21,2181,"['2022-10-19T19:11:08.000000000' '2022-10-19T19:11:08.000000000'
 '2022-10-17T19:21:07.000000000' '2022-10-16T18:55:47.000000000'
 '2022-10-17T18:49:31.000000000' '2022-10-17T19:21:07.000000000']",[1951.0432 1936.947  1943.968  1944.     1991.     1967.7827],1948,-233,20,-225,18,6
SouthCascade AVERAGE,N/A,N/A,2263.5,N/A,N/A,1876,-387,98,-406,80,42
Sperry,2013,2013-09-22,2536,,,,,,,,0
Sperry,2014,2014-10-21,2513,,,,,,,,0
Sperry,2015,2015-10-19,2561,,,,,,,,0
Sperry,2016,2016-09-30,2481,,,,,,,,0
Sperry,2017,2017-09-30,2510,,,,,,,,0
Sperry,2018,2018-09-27,2495,,,,,,,,0
Sperry,2019,2019-09-25,2554,"['2019-09-25T18:00:00.000000000' '2019-10-01T12:40:44.000000000'
 '2019-09-30T16:00:00.000000000' '2019-10-01T12:40:44.000000000']",[2524. 2277. 2498. 2277.],2388,-167,228,-160,117,4
Sperry,2020,2020-10-10,2349,"['2020-10-08T12:50:44.000000000' '2020-10-08T17:00:00.000000000'
 '2020-10-08T18:00:00.000000000' '2020-10-07T12:24:40.000000000'
 '2020-10-06T15:00:00.000000000' '2020-10-05T15:00:00.000000000'
 '2020-10-07T15:00:00.000000000' '2020-10-05T17:00:00.000000000'
 '2020-10-08T12:50:44.000000000']",[   nan 2571.  2411.  2584.5    nan 2710.  2524.  2349.  2533. ],2533,184,110,177,109,9
Sperry,2021,2021-10-09,2576,"['2021-10-08T17:00:00.000000000' '2021-10-08T18:00:00.000000000'
 '2021-10-11T18:00:00.000000000' '2021-10-12T18:00:00.000000000'
 '2021-10-05T12:40:42.000000000' '2021-10-04T17:00:00.000000000'
 '2021-10-08T12:50:39.000000000' '2021-10-04T18:00:00.000000000'
 '2021-10-03T12:50:43.000000000' '2021-10-05T17:00:00.000000000'
 '2021-10-09T18:00:00.000000000' '2021-10-08T12:50:39.000000000'
 '2021-10-05T12:40:42.000000000' '2021-10-09T17:00:00.000000000'
 '2021-10-03T12:50:43.000000000']","[2505.     nan    nan 2274.  2539.  2459.5 2497.  2274.     nan 2408.
 2432.     nan    nan    nan 2382. ]",2432,-144,115,-157,90,15
Sperry,2022,2022-10-22,2534,['2022-10-18T12:50:41.000000000' '2022-10-18T12:50:41.000000000'],[2547.   nan],2547,13,0,13,0,2
Sperry AVERAGE,N/A,N/A,2503.25,N/A,N/A,2475,-28,113,-32,79,30
ALL SITES AVERAGE,N/A,N/A,N/A,N/A,N/A,N/A,-289,124,-288,104,169